StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	36	26	18	18	0.142
C2	55	20	19	19	0.15
C3	63	65	8	8	0.063
C4	45	30	17	17	0.134
C5	40	25	9	9	0.071
C6	61	52	3	3	0.024
C7	53	43	14	14	0.11
C8	4	18	35	35	0.276
C9	53	52	11	11	0.087
C10	15	10	20	20	0.157
C11	63	23	2	2	0.016
C12	56	39	36	36	0.283
C13	14	37	11	11	0.087
C14	55	45	13	13	0.102
C15	31	67	3	3	0.024
C16	26	52	9	9	0.071
C17	22	27	11	11	0.087
C18	35	40	16	16	0.126
C19	31	52	27	27	0.213
C20	21	24	28	28	0.22
C21	45	10	18	18	0.142
C22	57	48	23	23	0.181
C23	56	37	6	6	0.047
C24	2	60	5	5	0.039
C25	20	26	9	9	0.071
C26	27	69	10	10	0.079
C27	25	24	20	20	0.157
C28	20	50	5	5	0.039
C29	10	43	9	9	0.071
C30	42	7	5	5	0.039
C31	47	16	25	25	0.197
C32	46	13	8	8	0.063
C33	15	47	16	16	0.126
C34	55	5	29	29	0.228
C35	35	17	7	7	0.055
C36	6	68	30	30	0.236
C37	65	20	6	6	0.047
C38	55	60	16	16	0.126
C39	15	19	1	1	0.008
C40	2	48	1	1	0.008
Tmax=127
