StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	38	15	10	10	0.057
C2	60	85	30	30	0.171
C3	65	55	14	14	0.08
C4	60	80	10	10	0.057
C5	5	45	10	10	0.057
C6	56	37	6	6	0.034
C7	5	35	10	10	0.057
C8	0	45	20	20	0.114
C9	35	40	16	16	0.091
C10	8	56	27	27	0.154
C11	61	52	3	3	0.017
C12	15	75	20	20	0.114
C13	20	20	8	8	0.046
C14	20	50	5	5	0.029
C15	92	30	10	10	0.057
C16	12	24	13	13	0.074
C17	90	35	10	10	0.057
C18	62	80	30	30	0.171
C19	87	30	10	10	0.057
C20	67	85	20	20	0.114
C21	49	42	13	13	0.074
C22	40	60	21	21	0.12
C23	6	68	30	30	0.171
C24	24	58	19	19	0.109
C25	27	43	9	9	0.051
C26	38	5	30	30	0.171
C27	22	75	30	30	0.171
C28	0	40	20	20	0.114
C29	95	35	20	20	0.114
C30	31	52	27	27	0.154
C31	15	80	10	10	0.057
C32	37	47	6	6	0.034
C33	37	31	14	14	0.08
C34	40	15	40	40	0.229
C35	22	85	10	10	0.057
C36	64	42	9	9	0.051
C37	8	40	40	40	0.229
C38	42	15	10	10	0.057
C39	45	30	17	17	0.097
C40	31	67	3	3	0.017
C41	15	60	17	17	0.097
C42	55	85	20	20	0.114
C43	65	35	3	3	0.017
C44	63	23	2	2	0.011
C45	21	24	28	28	0.16
C46	85	25	10	10	0.057
C47	50	35	19	19	0.109
C48	30	25	23	23	0.131
C49	45	65	9	9	0.051
C50	95	30	30	30	0.171
Tmax=175
