StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.48368656635395	-111.99645253484246	7.06	100	0.118
C2	33.42078486689724	-112.06502995709853	7.6	100	0.127
C3	33.522115906422904	-112.02458886809859	6.64	100	0.111
C4	33.51093009457105	-112.06766986366249	7.33	100	0.122
C5	33.460933776491466	-111.99691304300795	7.27	100	0.121
C6	33.41401924203729	-112.0389001606514	5.81	100	0.097
C7	33.49093040067405	-112.09629428943884	7.6	100	0.127
C8	33.494394704425794	-112.12757227824413	6.95	100	0.116
C9	33.49242427778118	-112.0357286502834	6.4	100	0.107
C10	33.48530128603006	-112.14825125707247	7.51	100	0.125
C11	33.48269545605906	-111.98864867367529	6.29	100	0.105
Tmax=240
