StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.488844901353666	-111.9981573815541	7.31	100	0.122
C2	33.48379497450182	-112.04038639779763	7.18	100	0.12
C3	33.5226533385873	-112.0401882793789	6.12	100	0.102
C4	33.428190726126296	-112.09653580073994	6.73	100	0.112
S1	33.48724402195409	-112.00298834980327	0.0	1	0.0
S2	33.48113956979215	-112.04450261967882	0.0	1	0.0
S3	33.51863817738401	-112.04219557246245	0.0	1	0.0
S4	33.43189290928493	-112.09380503208531	0.0	1	0.0
Tmax=120
