StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.45261154757116	-112.10370818703385	6.17	100	0.103
C2	33.47328286709422	-112.14879548212839	7.54	100	0.126
C3	33.49310737819502	-112.10806210239735	6.52	100	0.109
C4	33.479159512975514	-112.00866912178263	7.0	100	0.117
C5	33.455572449851594	-111.98998888813007	7.14	100	0.119
C6	33.49165003825266	-112.12395425669332	6.67	100	0.111
S1	33.454964645296556	-112.0973787638795	0.0	1	0.0
S2	33.47261138329985	-112.14191646124293	0.0	1	0.0
S3	33.48936233549043	-112.10277011422137	0.0	1	0.0
S4	33.47763715848604	-112.01535258870167	0.0	1	0.0
S5	33.4564396349117	-111.99683534394494	0.0	1	0.0
S6	33.488779490304736	-112.11793387723779	0.0	1	0.0
Tmax=120
