StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C4	33.407591480686655	-112.10798974022845	7.35	100	0.122
C1	33.50194789566369	-112.1276274810132	6.24	100	0.104
C2	33.46831334435106	-112.00517283064971	7.45	100	0.124
C3	33.50200059957498	-112.01771964979156	6.21	100	0.103
C4	33.44325789400169	-112.01674673370978	6.36	100	0.106
C5	33.44821257002008	-111.99185547990123	7.31	100	0.122
C6	33.45249903530408	-112.00339553773382	7.36	100	0.123
C7	33.448633186456114	-111.99893669599987	5.88	100	0.098
S4	33.41264810100137	-112.10459253112462	0.0	1	0.0
S1	33.498484723325866	-112.12206820273228	0.0	1	0.0
S2	33.46800747578193	-112.01208835280225	0.0	1	0.0
S3	33.49822837921974	-112.02298460268887	0.0	1	0.0
S4	33.445901045038276	-112.02291043086761	0.0	1	0.0
S5	33.44972179551683	-111.99854092822957	0.0	1	0.0
S6	33.45384376570265	-112.01013108854579	0.0	1	0.0
S7	33.450246055688574	-112.00558765317922	0.0	1	0.0
Tmax=120
