StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C5	33.411367735135364	-112.01616319627362	6.86	100	0.114
C1	33.52015851043144	-112.09968697749136	7.66	100	0.128
C2	33.42564612543983	-112.01359955576278	6.47	100	0.108
C3	33.52799697095408	-112.0355173456068	6.92	100	0.115
C4	33.49681774459094	-112.13917128547855	6.56	100	0.109
C5	33.43224566991366	-112.01708573094383	6.12	100	0.102
C6	33.46738807753574	-112.11264638149434	6.06	100	0.101
C7	33.469286274750715	-112.13364585977271	5.96	100	0.099
C8	33.39547528155173	-112.07074726947667	7.68	100	0.128
C9	33.452163054671715	-112.12124513693144	7.77	100	0.13
S5	33.41587270249342	-112.02052687489703	0.0	1	0.0
S1	33.51490615660462	-112.09673870673619	0.0	1	0.0
S2	33.42944150669585	-112.01883642068442	0.0	1	0.0
S3	33.522694911983315	-112.03833619436823	0.0	1	0.0
S4	33.494084327433406	-112.13306030763552	0.0	1	0.0
S5	33.43578590794431	-112.02257127726882	0.0	1	0.0
S6	33.46708845940689	-112.1057305430383	0.0	1	0.0
S7	33.468881531887675	-112.12673750023693	0.0	1	0.0
S8	33.401277905162075	-112.07059323219156	0.0	1	0.0
S9	33.45385821042998	-112.11462309316086	0.0	1	0.0
Tmax=120
